date,CPI_SG,Food_Index_SG,median_income_per_household_member_SG,income_index_SG,Food_Index_US,CPI_US,median_income_per_household_member_US,income_index_US
2021-02-01,134.5736434108527,134.72868217054264,3027.0,244.90291262135923,155.55862068965519,151.1574712643678,28312.0,173.95798999761848
2021-01-01,133.7984496124031,134.26356589147287,3027.0,244.90291262135923,155.32183908045977,150.33448275862068,28312.0,173.95798999761848
2020-12-01,133.95348837209303,133.95348837209303,2886.0,233.49514563106797,154.817816091954,149.69770114942528,26775.590551181103,164.51779857596392
2020-11-01,133.33333333333334,133.7984496124031,2886.0,233.49514563106797,154.33275862068965,149.55689655172412,26775.590551181103,164.51779857596392
2020-10-01,132.86821705426357,133.64341085271317,2886.0,233.49514563106797,154.69482758620688,149.64827586206894,26775.590551181103,164.51779857596392
2020-09-01,133.48837209302323,133.64341085271317,2886.0,233.49514563106797,154.29022988505747,149.58620689655172,26775.590551181103,164.51779857596392
2020-08-01,133.02325581395348,133.48837209302323,2886.0,233.49514563106797,154.24310344827586,149.37816091954022,26775.590551181103,164.51779857596392
2020-07-01,132.09302325581396,133.64341085271317,2886.0,233.49514563106797,154.09885057471266,148.90862068965518,26775.590551181103,164.51779857596392
2020-06-01,132.5581395348837,133.7984496124031,2886.0,233.49514563106797,154.62701149425286,148.15919540229888,26775.590551181103,164.51779857596392
2020-05-01,132.5581395348837,133.48837209302323,2886.0,233.49514563106797,153.90344827586205,147.3528735632184,26775.590551181103,164.51779857596392
2020-04-01,131.93798449612402,133.33333333333334,2886.0,233.49514563106797,152.95229885057472,147.35,26775.590551181103,164.51779857596392
2020-03-01,133.17829457364343,132.5581395348837,2886.0,233.49514563106797,150.75862068965517,148.34195402298852,26775.590551181103,164.51779857596392
2020-02-01,133.64341085271317,132.5581395348837,2886.0,233.49514563106797,150.2798850574713,148.66551724137932,26775.590551181103,164.51779857596392
2020-01-01,133.48837209302323,132.4031007751938,2886.0,233.49514563106797,149.7919540229885,148.25919540229884,26775.590551181103,164.51779857596392
2019-12-01,133.7984496124031,131.7829457364341,2925.0,236.6504854368932,149.08218390804598,147.6862068965517,27154.15019762846,166.84379021167283
2019-11-01,133.64341085271317,131.47286821705427,2925.0,236.6504854368932,148.89655172413794,147.82068965517243,27154.15019762846,166.84379021167283
2019-10-01,133.17829457364343,131.47286821705427,2925.0,236.6504854368932,149.01379310344828,147.9,27154.15019762846,166.84379021167283
2019-09-01,133.48837209302323,131.31782945736435,2925.0,236.6504854368932,148.6471264367816,147.56264367816092,27154.15019762846,166.84379021167283
2019-08-01,133.48837209302323,131.1627906976744,2925.0,236.6504854368932,148.36436781609194,147.44712643678162,27154.15019762846,166.84379021167283
2019-07-01,132.71317829457362,130.85271317829458,2925.0,236.6504854368932,148.28448275862067,147.45459770114945,27154.15019762846,166.84379021167283
2019-06-01,133.33333333333334,130.69767441860463,2925.0,236.6504854368932,148.14827586206897,147.20862068965516,27154.15019762846,166.84379021167283
2019-05-01,133.64341085271317,130.69767441860463,2925.0,236.6504854368932,148.15574712643678,147.17931034482757,27154.15019762846,166.84379021167283
2019-04-01,132.86821705426357,130.54263565891472,2925.0,236.6504854368932,147.92701149425287,146.86666666666667,27154.15019762846,166.84379021167283
2019-03-01,133.17829457364343,130.54263565891472,2925.0,236.6504854368932,147.94827586206898,146.09310344827585,27154.15019762846,166.84379021167283
2019-02-01,133.17829457364343,130.3875968992248,2925.0,236.6504854368932,147.69942528735632,145.27356321839082,27154.15019762846,166.84379021167283
2019-01-01,132.4031007751938,130.2325581395349,2925.0,236.6504854368932,147.23275862068965,144.66206896551725,27154.15019762846,166.84379021167283
2018-12-01,132.86821705426357,129.61240310077517,2792.0,225.88996763754045,146.56494252873563,144.3867816091954,25071.428571428572,154.046881910659
2018-11-01,132.71317829457362,129.45736434108528,2792.0,225.88996763754045,146.12758620689655,144.84942528735633,25071.428571428572,154.046881910659
2018-10-01,132.5581395348837,129.45736434108528,2792.0,225.88996763754045,146.09367816091955,145.33620689655172,25071.428571428572,154.046881910659
2018-09-01,132.86821705426357,129.45736434108528,2792.0,225.88996763754045,146.07931034482758,145.07988505747127,25071.428571428572,154.046881910659
2018-08-01,132.86821705426357,129.14728682170542,2792.0,225.88996763754045,145.85,144.91149425287355,25071.428571428572,154.046881910659
2018-07-01,132.4031007751938,129.14728682170542,2792.0,225.88996763754045,145.67586206896553,144.8310344827586,25071.428571428572,154.046881910659
2018-06-01,132.5581395348837,128.9922480620155,2792.0,225.88996763754045,145.41494252873562,144.8212643678161,25071.428571428572,154.046881910659
2018-05-01,132.5581395348837,128.68217054263565,2792.0,225.88996763754045,145.31494252873563,144.59080459770115,25071.428571428572,154.046881910659
2018-04-01,131.62790697674419,128.52713178294573,2792.0,225.88996763754045,145.40172413793104,143.9919540229885,25071.428571428572,154.046881910659
2018-03-01,132.24806201550388,128.37209302325581,2792.0,225.88996763754045,144.93218390804597,143.42183908045976,25071.428571428572,154.046881910659
2018-02-01,132.5581395348837,128.52713178294573,2792.0,225.88996763754045,144.87126436781608,143.098275862069,25071.428571428572,154.046881910659
2018-01-01,131.93798449612402,128.2170542635659,2792.0,225.88996763754045,144.89022988505747,142.45229885057472,25071.428571428572,154.046881910659
2017-12-01,132.24806201550388,127.75193798449612,2699.0,218.36569579288025,144.26666666666668,141.68045977011494,24256.916996047432,149.04226208574036
2017-11-01,132.4031007751938,127.75193798449612,2699.0,218.36569579288025,144.07701149425287,141.76379310344828,24256.916996047432,149.04226208574036
2017-10-01,131.62790697674419,127.5968992248062,2699.0,218.36569579288025,144.32758620689654,141.7603448275862,24256.916996047432,149.04226208574036
2017-09-01,131.93798449612402,127.28682170542635,2699.0,218.36569579288025,144.1005747126437,141.85,24256.916996047432,149.04226208574036
2017-08-01,131.93798449612402,126.97674418604652,2699.0,218.36569579288025,143.79999999999998,141.1028735632184,24256.916996047432,149.04226208574036
2017-07-01,131.47286821705427,127.28682170542635,2699.0,218.36569579288025,143.63793103448276,140.6816091954023,24256.916996047432,149.04226208574036
2017-06-01,131.7829457364341,126.97674418604652,2699.0,218.36569579288025,143.33218390804598,140.77873563218392,24256.916996047432,149.04226208574036
2017-05-01,132.09302325581396,126.97674418604652,2699.0,218.36569579288025,143.533908045977,140.65114942528737,24256.916996047432,149.04226208574036
2017-04-01,131.62790697674419,126.82170542635659,2699.0,218.36569579288025,143.41264367816092,140.53103448275863,24256.916996047432,149.04226208574036
2017-03-01,131.93798449612402,126.51162790697673,2699.0,218.36569579288025,143.0844827586207,140.1155172413793,24256.916996047432,149.04226208574036
2017-02-01,131.93798449612402,126.66666666666667,2699.0,218.36569579288025,142.8706896551724,140.00172413793103,24256.916996047432,149.04226208574036
2017-01-01,131.93798449612402,126.66666666666667,2699.0,218.36569579288025,142.5712643678161,139.56264367816092,24256.916996047432,149.04226208574036
2016-12-01,131.7829457364341,126.04651162790697,2584.0,209.06148867313914,142.0310344827586,138.75402298850574,23244.094488188977,142.81915641706968
2016-11-01,131.47286821705427,125.89147286821705,2584.0,209.06148867313914,142.0954022988506,138.7086206896552,23244.094488188977,142.81915641706968
2016-10-01,131.1627906976744,125.73643410852712,2584.0,209.06148867313914,142.44885057471265,138.92471264367816,23244.094488188977,142.81915641706968
2016-09-01,131.47286821705427,125.73643410852712,2584.0,209.06148867313914,142.32471264367817,138.75172413793103,23244.094488188977,142.81915641706968
2016-08-01,131.47286821705427,125.42635658914729,2584.0,209.06148867313914,142.19540229885058,138.41896551724136,23244.094488188977,142.81915641706968
2016-07-01,130.85271317829458,125.42635658914729,2584.0,209.06148867313914,142.1074712643678,138.2919540229885,23244.094488188977,142.81915641706968
2016-06-01,131.1627906976744,125.27131782945736,2584.0,209.06148867313914,142.07298850574713,138.51609195402298,23244.094488188977,142.81915641706968
2016-05-01,130.2325581395349,125.27131782945736,2584.0,209.06148867313914,142.2873563218391,138.06264367816092,23244.094488188977,142.81915641706968
2016-04-01,131.0077519379845,125.11627906976744,2584.0,209.06148867313914,142.58333333333334,137.50632183908047,23244.094488188977,142.81915641706968
2016-03-01,131.1627906976744,124.96124031007751,2584.0,209.06148867313914,142.34310344827585,136.85747126436783,23244.094488188977,142.81915641706968
2016-02-01,131.0077519379845,124.96124031007751,2584.0,209.06148867313914,142.79252873563217,136.27068965517242,23244.094488188977,142.81915641706968
2016-01-01,131.1627906976744,124.49612403100774,2584.0,209.06148867313914,142.66724137931035,136.15862068965518,23244.094488188977,142.81915641706968
2015-12-01,131.47286821705427,123.56589147286822,2500.0,202.26537216828478,142.2229885057471,135.933908045977,22339.920948616604,137.26362478549854
2015-11-01,131.47286821705427,123.41085271317829,2500.0,202.26537216828478,142.45402298850576,136.4,22339.920948616604,137.26362478549854
2015-10-01,131.1627906976744,123.41085271317829,2500.0,202.26537216828478,142.85919540229884,136.68850574712644,22339.920948616604,137.26362478549854
2015-09-01,131.7829457364341,123.10077519379846,2500.0,202.26537216828478,142.58045977011494,136.75,22339.920948616604,137.26362478549854
2015-08-01,131.7829457364341,122.94573643410853,2500.0,202.26537216828478,142.06666666666666,136.9632183908046,22339.920948616604,137.26362478549854
2015-07-01,131.62790697674419,122.79069767441861,2500.0,202.26537216828478,141.7,137.1574712643678,22339.920948616604,137.26362478549854
2015-06-01,132.09302325581396,122.63565891472867,2500.0,202.26537216828478,141.52011494252875,137.14827586206897,22339.920948616604,137.26362478549854
2015-05-01,132.24806201550388,122.48062015503875,2500.0,202.26537216828478,141.29080459770114,136.66954022988506,22339.920948616604,137.26362478549854
2015-04-01,131.62790697674419,122.32558139534885,2500.0,202.26537216828478,141.23333333333335,135.97643678160918,22339.920948616604,137.26362478549854
2015-03-01,132.5581395348837,122.1705426356589,2500.0,202.26537216828478,141.2005747126437,135.7005747126437,22339.920948616604,137.26362478549854
2015-02-01,132.24806201550388,122.63565891472867,2500.0,202.26537216828478,141.53390804597703,134.8977011494253,22339.920948616604,137.26362478549854
2015-01-01,132.09302325581396,122.32558139534885,2500.0,202.26537216828478,141.4367816091954,134.31436781609196,22339.920948616604,137.26362478549854
2014-12-01,132.4031007751938,121.70542635658914,2380.0,192.55663430420714,141.14080459770116,134.94942528735632,21125.984251968504,129.80480916903724
2014-11-01,132.5581395348837,121.3953488372093,2380.0,192.55663430420714,140.74827586206897,135.71896551724137,21125.984251968504,129.80480916903724
2014-10-01,132.24806201550388,121.24031007751938,2380.0,192.55663430420714,140.67528735632183,136.4557471264368,21125.984251968504,129.80480916903724
2014-09-01,132.71317829457362,120.93023255813954,2380.0,192.55663430420714,140.3793103448276,136.7994252873563,21125.984251968504,129.80480916903724
2014-08-01,132.86821705426357,120.77519379844962,2380.0,192.55663430420714,139.94080459770115,136.69655172413795,21125.984251968504,129.80480916903724
2014-07-01,132.24806201550388,120.62015503875968,2380.0,192.55663430420714,139.46781609195403,136.92528735632183,21125.984251968504,129.80480916903724
2014-06-01,132.5581395348837,120.31007751937983,2380.0,192.55663430420714,139.09597701149426,136.9787356321839,21125.984251968504,129.80480916903724
2014-05-01,132.86821705426357,120.31007751937983,2380.0,192.55663430420714,139.117816091954,136.72413793103448,21125.984251968504,129.80480916903724
